Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word,TRUE
Scottish Mortgage Investment Trust PLC,8931,scottish mortgage investment,scottish,Scottish Homes Investment,50362,96.6,scottish mortgage,Mortgage,111900,88.8,scottish mortgage investment,AG Mortgage Investment Trust,135441,96.2,
Seagate Technology International,14722,seagate technology international,seagate,Seagate Technology (XETRA),308221,95.2,seagate technology,Seagate Technology (XETRA),308221,95.2,seagate technology international,Technology International,77468,97.2,Seagate
Sesa Resources Limited,11703,sesa resources,sesa,Sesa Goa,170324,91.0,sesa resources,Mesa Resources,10057,93.0,sesa resources,Mesa Resources,10057,93.0,Sesa
Sharp International Finance (UK) Plc,9035,sharp international finance (uk),sharp,Sharp (SEAQ International),222744,93.8,sharp international,International,206505,91.6,sharp international finance,National Finance,112023,93.4,
Shell International Finance B.V.,16211,shell international finance b.v.,shell,Shell Transportation ADR,209666,91.4,shell international,International,206505,91.6,shell international finance,National Finance,43130,93.4,Shell
"Sirius International Group, Ltd.",3882,sirius international group,sirius,Sirius International Inrgp,61307,97.6,sirius international,Sirius International Inrgp,61307,97.6,sirius international group,AB International Group,127814,96.8,
Software AG,283,software,software,Software N,87833,97.8,software,Software N,87833,97.8,software,Software N,87833,97.8,
Stena International S.A.,15281,stena international,stena,Stena Line AB,180901,92.4,stena international,Astea International,52437,96.6,stena international,Astea International,52437,96.6,Stena
TELUS Communications Inc.,5337,telus communications,telus,Telus Communications Preferred 6%,161447,95.0,telus communications,USN Communications,77975,95.4,telus communications,USN Communications,77975,95.4,TELUS
TIERS Corporate Bond-Backed Certificates Trust,21561,tiers corporate bond-backed certificates,tiers,Tiers Call Print Protected Asset Tiers 2006,80083,90.2,tiers corporate,Corporate,99879,87.4,tiers corporate bond-backed,Corporate,99879,87.4,TIERS
TMF HOLDINGS LIMITED,11821,tmf holdings,tmf,MGLN High CVI Trust (Managed Fund) TMF,149639,85.4,tmf holdings,Trust Holdings,114528,96.0,tmf holdings,Trust Holdings,114528,96.0,
Total Capital International SA,8547,total capital international,total,Total (SEAQ International),297538,95.8,total capital,Security Capital,76742,88.2,total capital international,International,206505,93.0,
Transamerica Capital III,21460,transamerica capital iii,transamerica,Transamerica Finance,201280,93.6,transamerica capital,Transamerica,68778,93.4,transamerica capital iii,Transamerica,68778,93.4,
Tyco International Finance S.A.,15177,tyco international finance,tyco,Tyco International Cedear,150122,96.4,tyco international,Tyco International Cedear,150122,96.4,tyco international finance,Tyco International,68864,96.4,Tyco
UFJ International Limited,9217,ufj international,ufj,UFJ Holdings (SEAQ International),223018,93.6,ufj international,International,206505,97.4,ufj international,International,206505,97.4,
"US Airways, Inc.",21177,us airways,us,Cyprus Airways,16363,96.6,us airways,Cyprus Airways,16363,96.6,us airways,Cyprus Airways,16363,96.6,
"VLL INTERNATIONAL, INC.",14935,vll international,vll,Villar International Limited,98168,72.0,vll international,International,206505,97.4,vll international,International,206505,97.4,VLL
